[5, 0.034]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.036]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.038]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.04]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.045]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.05]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.055]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.06]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.065]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.07]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.075]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.08]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.085]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.09]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.095]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
